open,close,high,low,value,volume,begin,end
295.84,295.0,297.55,294.18,11199396831.3,37859030.0,2021-12-28,2021-12-28 23:59:59
295.05,293.51,295.55,291.33,11041565007.2,37673290.0,2021-12-29,2021-12-29 23:59:59
293.6,293.49,294.89,291.52,12484601229.1,42567960.0,2021-12-30,2021-12-30 23:59:59
295.9,305.47,305.5,294.34,15116470365.3,50183170.0,2022-01-03,2022-01-03 23:59:59
305.51,304.24,310.1,301.63,16277165930.5,53270410.0,2022-01-04,2022-01-04 23:59:59
303.72,287.01,304.26,287.0,20740935491.0,70017630.0,2022-01-05,2022-01-05 23:59:59
286.6,293.92,295.1,281.0,23128604540.0,79380930.0,2022-01-06,2022-01-06 23:59:59
295.52,291.69,298.88,288.68,19757691963.7,67426550.0,2022-01-10,2022-01-10 23:59:59
293.4,291.88,293.94,288.71,17141880062.9,58921530.0,2022-01-11,2022-01-11 23:59:59
292.82,290.4,292.92,285.05,23674409517.2,81822450.0,2022-01-12,2022-01-12 23:59:59
289.56,272.5,290.37,269.9,58998956306.5,211556190.0,2022-01-13,2022-01-13 23:59:59
272.39,261.0,277.98,249.2,105840690373.5,406253690.0,2022-01-14,2022-01-14 23:59:59
262.15,257.78,264.01,247.0,63249791802.6,248689250.0,2022-01-17,2022-01-17 23:59:59
